Id,Type,Time,Level,Volts
1,moist,2015-06-10 09:25:02,333,1.07
2,moist,2015-06-10 09:25:02,625,2.02
1,moist,2015-06-10 09:35:02,331,1.07
2,moist,2015-06-10 09:35:02,622,2.01
1,moist,2015-06-10 09:45:02,333,1.07
2,moist,2015-06-10 09:45:02,622,2.01
1,moist,2015-06-10 09:55:02,328,1.06
2,moist,2015-06-10 09:55:02,619,2.0
1,moist,2015-06-10 10:05:02,327,1.05
2,moist,2015-06-10 10:05:02,620,2.0
1,moist,2015-06-10 10:15:02,327,1.05
2,moist,2015-06-10 10:15:02,620,2.0
1,moist,2015-06-10 10:25:02,327,1.05
2,moist,2015-06-10 10:25:02,619,2.0
1,moist,2015-06-10 10:35:02,326,1.05
2,moist,2015-06-10 10:35:02,618,1.99
1,moist,2015-06-10 10:45:02,324,1.05
2,moist,2015-06-10 10:45:02,615,1.98
1,moist,2015-06-10 10:55:02,322,1.04
2,moist,2015-06-10 10:55:02,614,1.98
1,moist,2015-06-10 11:05:02,323,1.04
2,moist,2015-06-10 11:05:02,613,1.98
1,moist,2015-06-10 11:15:02,323,1.04
2,moist,2015-06-10 11:15:02,609,1.96
1,moist,2015-06-10 11:25:02,322,1.04
2,moist,2015-06-10 11:25:02,608,1.96
1,moist,2015-06-10 11:35:02,321,1.04
2,moist,2015-06-10 11:35:02,608,1.96
1,moist,2015-06-10 11:45:02,320,1.03
2,moist,2015-06-10 11:45:02,608,1.96
1,moist,2015-06-10 11:55:02,318,1.03
2,moist,2015-06-10 11:55:02,609,1.96
1,moist,2015-06-10 12:05:02,318,1.03
2,moist,2015-06-10 12:05:02,608,1.96
1,moist,2015-06-10 12:15:02,316,1.02
2,moist,2015-06-10 12:15:02,610,1.97
1,moist,2015-06-10 12:25:02,312,1.01
2,moist,2015-06-10 12:25:02,610,1.97
1,moist,2015-06-10 12:35:02,316,1.02
2,moist,2015-06-10 12:35:02,608,1.96
1,moist,2015-06-10 12:45:02,309,1.0
2,moist,2015-06-10 12:45:02,606,1.95
1,moist,2015-06-10 12:55:02,314,1.01
2,moist,2015-06-10 12:55:02,605,1.95
1,moist,2015-06-10 13:05:02,312,1.01
2,moist,2015-06-10 13:05:02,606,1.95
1,moist,2015-06-10 13:15:02,312,1.01
2,moist,2015-06-10 13:15:02,604,1.95
1,moist,2015-06-10 13:25:02,313,1.01
2,moist,2015-06-10 13:25:02,604,1.95
1,moist,2015-06-10 13:35:02,311,1.0
2,moist,2015-06-10 13:35:02,610,1.97
1,moist,2015-06-10 13:45:02,312,1.01
2,moist,2015-06-10 13:45:02,604,1.95
1,moist,2015-06-10 13:55:02,310,1.0
2,moist,2015-06-10 13:55:02,602,1.94
1,moist,2015-06-10 14:05:02,315,1.02
2,moist,2015-06-10 14:05:02,602,1.94
1,moist,2015-06-10 14:15:02,307,0.99
2,moist,2015-06-10 14:15:02,603,1.95
1,moist,2015-06-10 14:25:02,306,0.99
2,moist,2015-06-10 14:25:02,602,1.94
1,moist,2015-06-10 14:35:02,305,0.98
